site,county,pm25,datacreationdate,itemunit
花蓮,花蓮縣,5,"2025-12-02 05:00",μg/m3
臺東,臺東縣,7,"2025-12-02 05:00",μg/m3
恆春,屏東縣,2,"2025-12-02 05:00",μg/m3
潮州,屏東縣,12,"2025-12-02 05:00",μg/m3
屏東,屏東縣,19,"2025-12-02 05:00",μg/m3
小港,高雄市,31,"2025-12-02 05:00",μg/m3
前鎮,高雄市,27,"2025-12-02 05:00",μg/m3
前金,高雄市,33,"2025-12-02 05:00",μg/m3
左營,高雄市,36,"2025-12-02 05:00",μg/m3
楠梓,高雄市,32,"2025-12-02 05:00",μg/m3
林園,高雄市,23,"2025-12-02 05:00",μg/m3
大寮,高雄市,28,"2025-12-02 05:00",μg/m3
鳳山,高雄市,27,"2025-12-02 05:00",μg/m3
仁武,高雄市,23,"2025-12-02 05:00",μg/m3
橋頭,高雄市,33,"2025-12-02 05:00",μg/m3
美濃,高雄市,17,"2025-12-02 05:00",μg/m3
臺南,臺南市,23,"2025-12-02 05:00",μg/m3
安南,臺南市,28,"2025-12-02 05:00",μg/m3
善化,臺南市,21,"2025-12-02 05:00",μg/m3
新營,臺南市,19,"2025-12-02 05:00",μg/m3
嘉義,嘉義市,23,"2025-12-02 05:00",μg/m3
臺西,雲林縣,4,"2025-12-02 05:00",μg/m3
朴子,嘉義縣,15,"2025-12-02 05:00",μg/m3
新港,嘉義縣,18,"2025-12-02 05:00",μg/m3
崙背,雲林縣,19,"2025-12-02 05:00",μg/m3
斗六,雲林縣,42,"2025-12-02 05:00",μg/m3
南投,南投縣,17,"2025-12-02 05:00",μg/m3
二林,彰化縣,11,"2025-12-02 05:00",μg/m3
線西,彰化縣,11,"2025-12-02 05:00",μg/m3
彰化,彰化縣,6,"2025-12-02 05:00",μg/m3
西屯,臺中市,9,"2025-12-02 05:00",μg/m3
忠明,臺中市,7,"2025-12-02 05:00",μg/m3
大里,臺中市,8,"2025-12-02 05:00",μg/m3
沙鹿,臺中市,7,"2025-12-02 05:00",μg/m3
豐原,臺中市,4,"2025-12-02 05:00",μg/m3
三義,苗栗縣,4,"2025-12-02 05:00",μg/m3
苗栗,苗栗縣,12,"2025-12-02 05:00",μg/m3
頭份,苗栗縣,4,"2025-12-02 05:00",μg/m3
新竹,新竹市,3,"2025-12-02 05:00",μg/m3
竹東,新竹縣,3,"2025-12-02 05:00",μg/m3
湖口,新竹縣,4,"2025-12-02 05:00",μg/m3
龍潭,桃園市,5,"2025-12-02 05:00",μg/m3
