"統計期","學制別","總計[人]","升學/合計[人]","升學/大學校院[人]","升學/專科學校[人]","升學/高中或高職[人]","升學/師專師院[人]","升學/軍警學校[人]","升學/其他[人]","就業/合計[人]","就業/農林漁牧狩獵業[人]","就業/礦業及土石採取業[人]","就業/製造業或營造業[人]","就業/水電燃氣業[人]","就業/批發零售及餐飲業[人]","就業/金融保險不動產及租賃業[人]","就業/運輸倉儲通信業[人]","就業/社會及個人服務業[人]","就業/其他[人]","閒居[人]","其他[人]"
"95學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95學年","高級中學",25706,24227,23851,133,0,0,87,312,608,4,0,12,2,274,18,38,208,52,692,179
"95學年","高級職業學校",14701,10145,9076,995,0,0,14,120,3252,4,6,140,26,1440,36,124,1460,16,689,615
"95學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96學年","總計",40860,36137,34993,833,0,0,160,302,2862,0,4,160,22,1382,20,74,1188,12,1179,682
"96學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96學年","高級中學",25772,24684,24359,73,0,0,137,230,318,0,4,12,4,144,0,2,150,2,604,166
"96學年","高級職業學校",15088,11453,10634,760,0,0,23,72,2544,0,0,148,18,1238,20,72,1038,10,575,516
"96學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97學年","總計",38957,35899,34918,567,0,0,203,422,1357,0,0,56,4,664,8,44,573,8,1083,618
"97學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97學年","高級中學",25271,24486,24137,56,0,0,148,290,164,0,0,3,1,80,2,4,68,6,523,98
"97學年","高級職業學校",13686,11413,10781,511,0,0,55,132,1193,0,0,53,3,584,6,40,505,2,560,520
"97學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98學年","總計",38624,35516,34812,343,0,0,195,166,1175,0,1,38,12,546,5,41,532,0,1308,625
"98學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98學年","高級中學",24689,23798,23480,21,0,0,171,126,111,0,0,3,1,54,0,1,52,0,646,134
"98學年","高級職業學校",13935,11718,11332,322,0,0,24,40,1064,0,1,35,11,492,5,40,480,0,662,491
"98學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99學年","總計",38606,35797,35219,223,0,0,150,371,1023,0,0,13,1,498,6,74,429,2,1312,474
"99學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99學年","高級中學",24371,23389,23082,21,0,0,125,287,74,0,0,1,0,33,0,0,38,2,803,105
"99學年","高級職業學校",14235,12408,12137,202,0,0,25,84,949,0,0,12,1,465,6,74,391,0,509,369
"99學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100學年","總計",38310,35798,35183,227,0,0,139,249,851,0,1,19,3,423,12,44,348,1,1249,412
"100學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100學年","高級中學",24068,23143,22805,22,0,0,106,210,70,0,0,1,0,28,10,1,29,1,747,108
"100學年","高級職業學校",14242,12655,12378,205,0,0,33,39,781,0,1,18,3,395,2,43,319,0,502,304
"100學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101學年","總計",37897,35617,34990,173,0,0,164,290,992,1,0,26,11,447,6,23,473,5,779,509
"101學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101學年","高級中學",23866,23135,22732,1,0,0,142,260,74,0,0,3,0,33,0,0,38,0,503,154
"101學年","高級職業學校",14031,12482,12258,172,0,0,22,30,918,1,0,23,11,414,6,23,435,5,276,355
"101學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102學年","總計",38590,36325,35586,197,0,0,188,354,1032,0,1,35,1,476,10,17,482,10,653,580
"102學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102學年","高級中學",24185,23496,23036,2,0,0,151,307,54,0,0,3,0,21,0,2,27,1,462,173
"102學年","高級職業學校",14405,12829,12550,195,0,0,37,47,978,0,1,32,1,455,10,15,455,9,191,407
"102學年","國民中學",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

