"統計期","學制別","總計[人]","升學/合計[人]","升學/大學校院[人]","升學/專科學校[人]","升學/高中或高職[人]","升學/師專師院[人]","升學/軍警學校[人]","升學/其他[人]","就業/合計[人]","就業/農林漁牧狩獵業[人]","就業/礦業及土石採取業[人]","就業/製造業或營造業[人]","就業/水電燃氣業[人]","就業/批發零售及餐飲業[人]","就業/金融保險不動產及租賃業[人]","就業/運輸倉儲通信業[人]","就業/社會及個人服務業[人]","就業/其他[人]","閒居[人]","其他[人]"
"65學年","國民中學",41459,31522,0,4762,23720,81,365,2594,6736,188,3498,0,0,2058,0,0,14,978,1043,2158
"66學年","總計",71909,41881,0,14433,24641,284,1126,1397,20949,282,5698,0,0,11771,0,0,575,2623,3207,5872
"66學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66學年","高級中學",12988,8313,0,7828,0,51,296,138,1938,42,375,0,0,874,0,0,141,506,820,1917
"66學年","高級職業學校",15600,1478,0,961,3,143,276,95,12365,71,2049,0,0,8698,0,0,374,1173,792,965
"66學年","國民中學",43321,32090,0,5644,24638,90,554,1164,6646,169,3274,0,0,2199,0,0,60,944,1595,2990
"67學年","總計",69702,43056,0,14453,25226,59,914,2404,17082,203,7147,0,0,7301,0,0,476,1955,2971,6593
"67學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67學年","高級中學",13150,9013,0,8341,0,0,326,346,1591,62,397,0,0,777,0,0,35,320,1172,1374
"67學年","高級職業學校",13397,1779,0,1321,0,2,168,288,9330,52,3165,0,0,4767,0,0,394,952,703,1585
"67學年","國民中學",43155,32264,0,4791,25226,57,420,1770,6161,89,3585,0,0,1757,0,0,47,683,1096,3634
"68學年","總計",71834,43539,0,13932,24538,894,803,3372,18515,308,6795,0,0,9103,0,0,664,1645,1762,8018
"68學年","高中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68學年","初中(職)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68學年","高級中學",12208,8674,0,7819,0,10,174,671,1148,42,241,0,0,553,0,0,165,147,483,1903
"68學年","高級職業學校",16506,2015,0,1366,0,18,179,452,12191,166,3376,0,0,7177,0,0,472,1000,771,1529
"68學年","國民中學",43120,32850,0,4747,24538,866,450,2249,5176,100,3178,0,0,1373,0,0,27,498,508,4586
"69學年","總計",73386,45743,0,14927,23035,3665,767,3349,17907,100,5965,0,0,9820,0,0,513,1509,2059,7677
